t;T_B;V_B
619;34.6655;1.95551
620;34.5903;1.95152
621;34.5154;1.94755
622;34.4407;1.9436
623;34.3663;1.93966
624;34.2921;1.93573
625;34.2181;1.93182
626;34.1443;1.92792
627;34.0708;1.92403
628;33.9975;1.92016
629;33.9245;1.91631
630;33.8517;1.91246
631;33.7791;1.90863
632;33.7068;1.90482
633;33.6347;1.90102
634;33.5628;1.89723
635;33.4912;1.89345
636;33.4198;1.88969
637;33.3486;1.88595
638;33.2777;1.88222
639;33.207;1.8785
640;33.1366;1.87479
641;33.0664;1.8711
642;32.9964;1.86742
643;32.9267;1.86375
644;32.8572;1.8601
645;32.7879;1.85646
646;32.7189;1.85284
647;32.6501;1.84923
648;32.5816;1.84563
649;32.5133;1.84204
650;32.4452;1.83847
651;32.3774;1.83491
652;32.3098;1.83136
653;32.2425;1.82783
654;32.1754;1.82431
655;32.1085;1.82081
656;32.0419;1.81731
657;31.9755;1.81383
658;31.9093;1.81036
659;31.8434;1.80691
660;31.7777;1.80347
661;31.7123;1.80004
662;31.6471;1.79662
663;31.5822;1.79322
664;31.5175;1.78983
665;31.453;1.78645
666;31.3888;1.78308
667;31.3248;1.77973
668;31.261;1.77639
669;31.1975;1.77306
670;31.1342;1.76974
671;31.0712;1.76644
672;31.0084;1.76315
673;30.9458;1.75987
674;30.8835;1.75661
675;30.8215;1.75335
676;30.7596;1.75011
677;30.698;1.74688
678;30.6367;1.74366
679;30.5756;1.74046
680;30.5147;1.73727
681;30.4541;1.73409
682;30.3937;1.73092
683;30.3335;1.72776
684;30.2736;1.72462
685;30.2139;1.72148
686;30.1545;1.71836
687;30.0953;1.71526
688;30.0363;1.71216
689;29.9776;1.70907
690;29.9191;1.706
691;29.8609;1.70294
692;29.8028;1.69989
693;29.7451;1.69685
694;29.6875;1.69383
695;29.6302;1.69081
696;29.5732;1.68781
697;29.5164;1.68482
698;29.4598;1.68184
699;29.4034;1.67887
700;29.3473;1.67591
701;29.2915;1.67296
702;29.2358;1.67003
703;29.1804;1.66711
704;29.1253;1.6642
705;29.0703;1.6613
706;29.0156;1.65841
707;28.9612;1.65553
708;28.907;1.65266
709;28.853;1.64981
710;28.7992;1.64696
711;28.7457;1.64413
712;28.6924;1.64131
713;28.6394;1.63849
714;28.5865;1.63569
715;28.534;1.6329
716;28.4816;1.63013
717;28.4295;1.62736
718;28.3776;1.6246
719;28.3259;1.62186
720;28.2745;1.61912
721;28.2233;1.6164
722;28.1724;1.61368
723;28.1216;1.61098
724;28.0711;1.60829
725;28.0209;1.60561
726;27.9708;1.60293
727;27.921;1.60027
728;27.8714;1.59762
729;27.8221;1.59498
730;27.773;1.59235
731;27.7241;1.58974
732;27.6754;1.58713
733;27.627;1.58453
734;27.5788;1.58194
735;27.5308;1.57936
736;27.483;1.5768
737;27.4355;1.57424
738;27.3882;1.57169
739;27.3411;1.56916
740;27.2942;1.56663
741;27.2476;1.56411
742;27.2012;1.56161
743;27.155;1.55911
744;27.109;1.55662
745;27.0633;1.55415
746;27.0178;1.55168
747;26.9725;1.54922
748;26.9274;1.54678
749;26.8825;1.54434
750;26.8379;1.54191
751;26.7935;1.5395
752;26.7493;1.53709
753;26.7053;1.53469
754;26.6615;1.5323
755;26.618;1.52992
756;26.5747;1.52755
757;26.5316;1.52519
758;26.4887;1.52284
759;26.446;1.5205
760;26.4035;1.51817
761;26.3613;1.51585
762;26.3193;1.51354
763;26.2775;1.51124
764;26.2359;1.50894
765;26.1945;1.50666
766;26.1533;1.50439
767;26.1123;1.50212
768;26.0716;1.49986
769;26.031;1.49762
770;25.9907;1.49538
771;25.9506;1.49315
772;25.9107;1.49093
773;25.871;1.48872
774;25.8315;1.48652
775;25.7922;1.48433
776;25.7531;1.48214
777;25.7142;1.47997
778;25.6756;1.47781
779;25.6371;1.47565
780;25.5988;1.4735
781;25.5608;1.47136
782;25.5229;1.46923
783;25.4853;1.46711
784;25.4479;1.465
785;25.4106;1.46289
786;25.3736;1.4608
787;25.3367;1.45871
788;25.3001;1.45664
789;25.2637;1.45457
790;25.2274;1.45251
791;25.1914;1.45045
792;25.1555;1.44841
793;25.1199;1.44638
794;25.0845;1.44435
795;25.0492;1.44233
796;25.0141;1.44032
797;24.9793;1.43832
798;24.9446;1.43633
799;24.9101;1.43434
800;24.8759;1.43237
801;24.8418;1.4304
802;24.8079;1.42844
803;24.7742;1.42649
804;24.7407;1.42454
805;24.7073;1.42261
806;24.6742;1.42068
807;24.6413;1.41876
808;24.6085;1.41685
809;24.5759;1.41495
810;24.5435;1.41305
811;24.5114;1.41116
812;24.4793;1.40929
813;24.4475;1.40741
814;24.4159;1.40555
815;24.3844;1.40369
816;24.3531;1.40185
817;24.322;1.40001
818;24.2911;1.39817
819;24.2604;1.39635
820;24.2298;1.39453
821;24.1995;1.39272
822;24.1693;1.39092
823;24.1393;1.38913
824;24.1094;1.38734
825;24.0798;1.38556
826;24.0503;1.38379
827;24.021;1.38203
828;23.9919;1.38027
829;23.9629;1.37853
830;23.9341;1.37678
831;23.9055;1.37505
832;23.8771;1.37333
833;23.8488;1.37161
834;23.8207;1.36989
835;23.7928;1.36819
836;23.765;1.36649
837;23.7374;1.3648
838;23.71;1.36312
839;23.6828;1.36145
840;23.6557;1.35978
841;23.6288;1.35812
842;23.602;1.35646
843;23.5754;1.35482
844;23.549;1.35318
845;23.5227;1.35154
846;23.4967;1.34992
847;23.4707;1.3483
848;23.4449;1.34669
849;23.4193;1.34508
850;23.3939;1.34349
851;23.3686;1.3419
852;23.3435;1.34031
853;23.3185;1.33873
854;23.2937;1.33716
855;23.269;1.3356
856;23.2445;1.33404
857;23.2202;1.33249
858;23.196;1.33095
859;23.1719;1.32941
860;23.148;1.32788
861;23.1243;1.32636
862;23.1007;1.32484
863;23.0773;1.32333
864;23.054;1.32183
865;23.0309;1.32033
866;23.0079;1.31884
867;22.9851;1.31736
868;22.9624;1.31588
869;22.9398;1.31441
870;22.9174;1.31294
871;22.8952;1.31149
872;22.8731;1.31003
873;22.8511;1.30859
874;22.8293;1.30715
875;22.8077;1.30572
876;22.7861;1.30429
877;22.7647;1.30287
878;22.7435;1.30145
879;22.7224;1.30005
880;22.7014;1.29864
881;22.6806;1.29725
882;22.6599;1.29586
883;22.6394;1.29447
884;22.619;1.2931
885;22.5987;1.29173
886;22.5786;1.29036
887;22.5586;1.289
888;22.5387;1.28765
889;22.5189;1.2863
890;22.4993;1.28496
891;22.4799;1.28362
892;22.4605;1.28229
893;22.4413;1.28097
894;22.4222;1.27965
895;22.4033;1.27834
896;22.3845;1.27703
897;22.3658;1.27573
898;22.3472;1.27444
899;22.3288;1.27315
900;22.3105;1.27187
901;22.2923;1.27059
902;22.2742;1.26932
903;22.2563;1.26805
904;22.2385;1.26679
905;22.2208;1.26553
906;22.2032;1.26428
907;22.1858;1.26304
908;22.1685;1.2618
909;22.1513;1.26057
910;22.1342;1.25934
911;22.1172;1.25812
912;22.1004;1.2569
913;22.0836;1.25569
914;22.067;1.25449
915;22.0505;1.25328
916;22.0342;1.25209
917;22.0179;1.2509
918;22.0018;1.24972
919;21.9857;1.24854
920;21.9698;1.24736
921;21.954;1.24619
922;21.9383;1.24503
923;21.9227;1.24387
924;21.9073;1.24272
925;21.8919;1.24157
926;21.8766;1.24043
927;21.8615;1.23929
928;21.8465;1.23816
929;21.8315;1.23703
930;21.8167;1.23591
931;21.802;1.23479
932;21.7874;1.23368
933;21.7729;1.23257
934;21.7585;1.23147
935;21.7442;1.23038
936;21.73;1.22928
937;21.7159;1.2282
938;21.7019;1.22711
939;21.6881;1.22604
940;21.6743;1.22496
941;21.6606;1.2239
942;21.647;1.22283
943;21.6335;1.22177
944;21.6202;1.22072
945;21.6069;1.21967
946;21.5937;1.21863
947;21.5806;1.21759
948;21.5676;1.21655
949;21.5547;1.21552
950;21.5419;1.2145
951;21.5292;1.21348
952;21.5166;1.21246
953;21.5041;1.21145
954;21.4916;1.21045
955;21.4793;1.20944
956;21.4671;1.20845
957;21.4549;1.20745
958;21.4429;1.20647
959;21.4309;1.20548
960;21.419;1.2045
961;21.4072;1.20353
962;21.3955;1.20256
963;21.3839;1.20159
964;21.3724;1.20063
965;21.3609;1.19967
966;21.3496;1.19872
967;21.3383;1.19777
968;21.3271;1.19683
969;21.316;1.19589
970;21.305;1.19495
971;21.2941;1.19402
972;21.2833;1.19309
973;21.2725;1.19217
974;21.2618;1.19125
975;21.2512;1.19034
976;21.2407;1.18943
977;21.2302;1.18852
978;21.2199;1.18762
979;21.2096;1.18672
980;21.1994;1.18583
981;21.1893;1.18494
982;21.1792;1.18405
983;21.1693;1.18317
984;21.1594;1.18229
985;21.1496;1.18142
986;21.1398;1.18055
987;21.1302;1.17968
988;21.1206;1.17882
989;21.1111;1.17797
990;21.1016;1.17711
991;21.0923;1.17626
992;21.083;1.17542
993;21.0738;1.17458
994;21.0646;1.17374
995;21.0555;1.1729
996;21.0465;1.17207
997;21.0376;1.17125
998;21.0287;1.17042
999;21.0199;1.16961
1000;21.0112;1.16879
1001;21.0025;1.16798
1002;20.994;1.16717
1003;20.9854;1.16637
1004;20.977;1.16557
1005;20.9686;1.16477
1006;20.9603;1.16398
1007;20.952;1.16319
1008;20.9438;1.16241
1009;20.9357;1.16163
1010;20.9276;1.16085
1011;20.9196;1.16007
1012;20.9117;1.1593
1013;20.9038;1.15854
1014;20.896;1.15777
1015;20.8883;1.15701
1016;20.8806;1.15626
1017;20.873;1.1555
1018;20.8654;1.15475
1019;20.8579;1.15401
1020;20.8505;1.15327
1021;20.8431;1.15253
1022;20.8358;1.15179
1023;20.8285;1.15106
1024;20.8213;1.15033
1025;20.8142;1.1496
1026;20.8071;1.14888
1027;20.8001;1.14816
1028;20.7931;1.14745
1029;20.7862;1.14674
1030;20.7793;1.14603
1031;20.7725;1.14532
1032;20.7658;1.14462
1033;20.7591;1.14392
1034;20.7524;1.14323
1035;20.7458;1.14253
1036;20.7393;1.14185
1037;20.7328;1.14116
1038;20.7264;1.14048
1039;20.72;1.1398
1040;20.7137;1.13912
1041;20.7074;1.13845
1042;20.7012;1.13778
1043;20.6951;1.13711
1044;20.6889;1.13645
1045;20.6829;1.13579
1046;20.6769;1.13513
1047;20.6709;1.13448
1048;20.665;1.13383
1049;20.6591;1.13318
1050;20.6533;1.13253
1051;20.6475;1.13189
1052;20.6418;1.13125
1053;20.6361;1.13062
1054;20.6305;1.12998
1055;20.6249;1.12935
1056;20.6194;1.12873
1057;20.6139;1.1281
1058;20.6084;1.12748
1059;20.603;1.12686
1060;20.5977;1.12625
1061;20.5924;1.12563
1062;20.5871;1.12502
1063;20.5819;1.12442
1064;20.5767;1.12381
1065;20.5716;1.12321
1066;20.5665;1.12261
1067;20.5614;1.12202
1068;20.5564;1.12143
1069;20.5515;1.12084
1070;20.5465;1.12025
1071;20.5417;1.11967
1072;20.5368;1.11908
1073;20.532;1.11851
1074;20.5273;1.11793
1075;20.5225;1.11736
1076;20.5179;1.11679
1077;20.5132;1.11622
1078;20.5086;1.11565
1079;20.5041;1.11509
1080;20.4995;1.11453
1081;20.4951;1.11397
1082;20.4906;1.11342
1083;20.4862;1.11287
1084;20.4818;1.11232
1085;20.4775;1.11177
1086;20.4732;1.11123
1087;20.4689;1.11069
1088;20.4647;1.11015
1089;20.4605;1.10961
1090;20.4564;1.10908
1091;20.4523;1.10855
1092;20.4482;1.10802
1093;20.4441;1.10749
1094;20.4401;1.10697
1095;20.4361;1.10645
1096;20.4322;1.10593
1097;20.4283;1.10541
1098;20.4244;1.1049
1099;20.4206;1.10439
1100;20.4168;1.10388
1101;20.413;1.10337
1102;20.4092;1.10287
1103;20.4055;1.10236
1104;20.4018;1.10187
1105;20.3982;1.10137
1106;20.3946;1.10087
1107;20.391;1.10038
1108;20.3874;1.09989
1109;20.3839;1.0994
1110;20.3804;1.09892
1111;20.377;1.09844
