t;T_B;V_A;V_B
707;42.9485;0.737514;2.15233
708;42.9226;0.734175;2.151
709;42.8967;0.730844;2.14966
710;42.8707;0.72752;2.14833
711;42.8447;0.724204;2.14698
712;42.8187;0.720895;2.14564
713;42.7926;0.717594;2.14429
714;42.7665;0.7143;2.14294
715;42.7403;0.711014;2.14159
716;42.7141;0.707736;2.14024
717;42.6879;0.704465;2.13888
718;42.6616;0.701202;2.13751
719;42.6353;0.697946;2.13615
720;42.6089;0.694698;2.13478
721;42.5825;0.691457;2.13341
722;42.5561;0.688224;2.13204
723;42.5296;0.684999;2.13066
724;42.5031;0.681781;2.12928
725;42.4765;0.678571;2.1279
726;42.45;0.675368;2.12652
727;42.4233;0.672173;2.12513
728;42.3967;0.668985;2.12374
729;42.3699;0.665805;2.12235
730;42.3432;0.662632;2.12095
731;42.3164;0.659468;2.11955
732;42.2896;0.65631;2.11815
733;42.2627;0.65316;2.11675
734;42.2358;0.650018;2.11534
735;42.2089;0.646884;2.11393
736;42.1819;0.643756;2.11252
737;42.1549;0.640637;2.1111
738;42.1278;0.637525;2.10969
739;42.1007;0.634421;2.10827
740;42.0735;0.631324;2.10684
741;42.0464;0.628235;2.10542
742;42.0191;0.625153;2.10399
743;41.9919;0.622079;2.10256
744;41.9646;0.619012;2.10112
745;41.9372;0.615953;2.09969
746;41.9098;0.612902;2.09825
747;41.8824;0.609858;2.09681
748;41.855;0.606822;2.09536
749;41.8275;0.603793;2.09392
750;41.7999;0.600772;2.09247
751;41.7723;0.597758;2.09102
752;41.7447;0.594752;2.08956
753;41.717;0.591754;2.0881
754;41.6893;0.588763;2.08665
755;41.6616;0.58578;2.08518
756;41.6338;0.582804;2.08372
757;41.606;0.579836;2.08225
758;41.5781;0.576875;2.08078
759;41.5502;0.573922;2.07931
760;41.5223;0.570977;2.07784
761;41.4943;0.568039;2.07636
762;41.4663;0.565109;2.07488
763;41.4382;0.562186;2.0734
764;41.4101;0.559271;2.07191
765;41.3819;0.556363;2.07043
766;41.3537;0.553463;2.06894
767;41.3255;0.55057;2.06745
768;41.2972;0.547686;2.06595
769;41.2689;0.544808;2.06446
770;41.2406;0.541938;2.06296
771;41.2122;0.539076;2.06146
772;41.1837;0.536222;2.05996
773;41.1553;0.533375;2.05845
774;41.1267;0.530535;2.05694
775;41.0982;0.527703;2.05543
776;41.0696;0.524879;2.05392
777;41.0409;0.522062;2.05241
778;41.0123;0.519253;2.05089
779;40.9835;0.516451;2.04937
780;40.9548;0.513657;2.04785
781;40.926;0.51087;2.04632
782;40.8971;0.508091;2.0448
783;40.8682;0.50532;2.04327
784;40.8393;0.502556;2.04174
785;40.8103;0.4998;2.04021
786;40.7813;0.497051;2.03867
787;40.7522;0.49431;2.03713
788;40.7231;0.491577;2.0356
789;40.694;0.488851;2.03405
790;40.6648;0.486132;2.03251
791;40.6356;0.483421;2.03096
792;40.6063;0.480718;2.02942
793;40.577;0.478023;2.02787
794;40.5477;0.475334;2.02631
795;40.5183;0.472654;2.02476
796;40.4888;0.469981;2.0232
797;40.4594;0.467315;2.02165
798;40.4298;0.464658;2.02008
799;40.4003;0.462007;2.01852
800;40.3707;0.459365;2.01696
801;40.341;0.456729;2.01539
802;40.3113;0.454102;2.01382
803;40.2816;0.451482;2.01225
804;40.2518;0.448869;2.01068
805;40.222;0.446265;2.0091
806;40.1921;0.443667;2.00753
807;40.1622;0.441077;2.00595
808;40.1323;0.438495;2.00437
809;40.1023;0.435921;2.00278
810;40.0723;0.433354;2.0012
811;40.0422;0.430794;1.99961
812;40.0121;0.428242;1.99802
813;39.9819;0.425698;1.99643
814;39.9517;0.423161;1.99484
815;39.9215;0.420632;1.99324
816;39.8912;0.418111;1.99165
817;39.8609;0.415596;1.99005
818;39.8305;0.41309;1.98845
819;39.8001;0.410591;1.98685
820;39.7696;0.4081;1.98524
821;39.7391;0.405616;1.98364
822;39.7085;0.40314;1.98203
823;39.6779;0.400671;1.98042
824;39.6473;0.39821;1.97881
